name,lat,lon,instagram_handle,tags,type,time_category,energy_ramp,price,duration,cover,city,slug
The Southern Gentleman,33.8378564,-84.380685,thesoutherngentlemanatl,"{southern,steakhouse,cocktails,upscale,elegant,grill,bourbon,datenight,historic,social}",brunch,afternoon,3,$$$,2,img/venues/The Southern Gentleman.jpg,atl,the-southern-gentleman
Atlanta Breakfast Club,33.7648612,-84.3954381,_atlantabreakfastclub,"{breakfast,brunch,morning,all‑day,pancakes,coffee,comfort,local,casual,weekday,family,café}",breakfast,Afternoon,2,$$,1,img/venues/Atlanta Breakfast Club.jpg,atl,atlanta-breakfast-club
Breakfast At Barney's,33.7497217,-84.3789875,_breakfastatbarneys,"{breakfast,brunch,homestyle,morning,waffles,comfort,neighborhood,casual,sweet,savory,diner,family}",breakfast,Afternoon,2,$$,1,img/venues/Breakfast At Barney's.jpg,atl,breakfast-at-barneys
South City Kitchen Midtown,33.7859545,-84.3844341,southcitykitchen.atl,"{southern,modern,dinner,upscale,lunch,seasonal,chef,elegant,social,date‑night,brunch,comfort}",brunch,afternoon,3,$$$,2,img/venues/South City Kitchen Midtown.jpg,atl,south-city-kitchen-midtown
The Nook on Piedmont Park,33.7860503,-84.3785154,nookatlanta,"{brunch,outdoor,park,pancakes,coffee,casual,local,breakfast,daytime,scenic,chill,sunny}",lunch,Evening,3,$$,1.5,img/venues/The Nook on Piedmont Park.jpg,atl,the-nook-on-piedmont-park
Bomb Biscuit Atlanta,33.7461492,-84.3704637,bombbiscuitatl,"{biscuits,breakfast,brunch,comfort,southern,casual,quick,savory,cheesy,craveable,local,delicious}",breakfast,Midday,2,$,1,img/venues/Bomb Biscuit Atlanta.jpg,atl,bomb-biscuit-atlanta
Rina - Old Fourth Ward,33.7726586,-84.3643038,rina.atl,"{Italian,pasta,wine,date‑night,dinner,cozy,classic,neighborhood,bar,dinner,shared,rustic}",lunch,Afternoon,2,$$,1.5,img/venues/Rina - Old Fourth Ward.jpg,atl,rina-old-fourth-ward
Yonder Yoga - Midtown,33.7800083,-84.3676564,yonderyoga,"{yoga,wellness,stretch,studio,breathe,zen,fitness,core,calm,flow,mindful,health}",yoga,Morning,1,$,1,img/venues/Yonder Yoga - Midtown.jpg,atl,yonder-yoga-midtown
Just Add Honey Tea Company,33.7596415,-84.3642994,justaddhoney,"{tea,café,sweet,specialty,local,cozy,afternoon,tasting,comfort,herbal,boutique,sip}",tea,Midday,1,$$,1,img/venues/Just Add Honey Tea Company.jpg,atl,just-add-honey-tea-company
FUTURE GALLERY,33.7515593,-84.3898914,futuredeadartists,"{art,gallery,modern,exhibit,curated,contemporary,culture,visual,show,installation,creative,space}",gallery,Afternoon,2,$,1,img/venues/FUTURE GALLERY.jpg,atl,future-gallery
Carousel Fine Art,33.8376644,-84.3800947,carouselfineart,"{art,fine,gallery,classic,paint,sculpture,exhibition,collector,aesthetic,curated,museum,artistic}",gallery,Afternoon,1,$,1,img/venues/Carousel Fine Art.png,atl,carousel-fine-art
El Viñedo Local,33.7743893,-84.3849071,elvinedolocal,"{wine,tapas,local,community,tasting,cellar,relaxed,Spanish,elegant,vineyard,social,pairing}",coffee,Afternoon,3,$$,1.5,img/venues/El Viñedo Local.jpg,atl,el-vinedo-local
